"<strong>%d item(s)</strong> were found using the following search criteria","Tìm thấy <strong>%d sản phẩm</strong>"
%s and greater,%s và lớn hơn
Advanced Search,Tìm nâng cao
All,Tất cả
"Applies for ""Like"" Search type only","Chỉ áp dụng cho kiểu tìm ""Giống"""
Apply Layered Navigation if search results are less than,Sử dụng Layered Navigation nếu các kết quả tìm kiếm ít hơn
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Thiết lập thuộc tính thao đổi kéo theo với Chỉ mục tìm kiếm (Search Index). Hãy chạy quá trinhf <a href=""%s"">Thực hiện lại chỉ mục tìm kiếm </a>"
Autogenerated site map,Tự động sinh sơ đồ trang (sitemap)
"Catalog Advanced Search", "Nhập tìm từ khóa cần tìm kiếm"
Catalog Search,Tìm trong Catalog
Don't see what you're looking for?,Không thấy những gì bạn cần tìm?
Go to Home Page,Về trang chủ
Grid,Lưới
Home,Trang chủ
List,Danh sách
Maximum Query Length,Độ dài tối đa của truy vấn
Maximum Query Words Count,Số từ tối đa của truy vấn
Maximum Search query  length is %s. Your query was cut.,Độ dài tối đa của truy vấn là %s. Truy vấn của bạn đã được cắt gọn bớt.
Minimal Query Length,Độ dài tối thiểu của truy vấn
"Modify your search", "Tìm kiếm nâng cao"
"Name", "Tên sản phẩm"
No,Không
No items were found using the following search criteria.,Không tìm thấy sản phẩm nào với các tiêu chí tìm kiếm vừa rồi
"Please enter ""0"" to enable layered navigation for any number of results","Điền ""0"" để bật tính năng layered navigation cho bất kỳ kết quả nào."
Popular Search Terms,Các từ khóa tìm kiếm phổ biến
Popular search terms,Các từ khóa tìm kiếm phổ biến
Price,Giá
Relevance,Relevance
Required Fields,Các trường bắt buộc
Results,Các kết quả
Search,Nhập từ khóa cần tìm kiếm
Search By Category,Tìm theo danh mục
Search Settings,Các thiết lập tìm kiếm
Search Site,Tìm trang
Search Terms,Từ khóa tìm kiếm
Search Type,Loại tìm kiếm
Search entire store here...,Nhập từ khóa cần tìm
Search results for '%s',Kết quả tìm kiếm cho '%s'
Search results for: '%s',Các kết quả tìm kiếm cho: '%s'
Subscribe to Feed,Đăng ký nhận Feed
There are no search terms available.,Không tồn tại từ khóa tìm kiếm.
Yes,Có
You have to specify at least one search term,Bạn cần nhập ít nhất một từ khóa
Your search returns no results.,Không tìm thấy kết quả nào.
up to %s,lên tới %s
"Short Description","Mô tả ngắn"