"%s Item(s)","%s Sản phẩm"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Halobuy. All Rights Reserved."
"(ver. %s)","(ver. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> nếu không có chuyển biến gì"
"Close Window","Đóng cửa sổ"
"Default Description","Diễn tả mặc định"
"Default welcome msg!","Lời chào mặc định!"
"Hãy giúp chúng tôi phát triển Magento ngày càng tốt hơn","Hãy giúp chúng tôi phát triển Magento ngày càng tốt hơn"
"Interface Language","Ngôn ngữ giao diện"
"Items %s to %s of %s total","Sản phẩm %s tới %s của %s tổng"
"Next Page","Trang tiếp theo"
"Page:","Trang:"
"Previous Page","Trang trước"
"Redirecting...","Đang chuyển..."
"Report All Bugs","Thông báo tất cả các lỗi"
"Select Store","Lựa chọn cửa hàng"
"Show","Hiển thị"
"Skip to Main Content","Tạm bỏ đến nội dung chính"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là cửa hàng chạy thử. Tất cả các đơn hàng đều không được tính toán và xử lý."
"Welcome, %s!","Chào mừng, %s!"
"You're currently on:","Bạn đang ở:"
"Your Language","Ngôn ngữ của bạn"
"Your Language:","Ngôn ngữ của bạn:"
"per page","trên trang"
"Free Shipping on orders over 50$","Mua hàng trực tuyến, giảm 3%"
"Items","Sản phẩm"